topic,category,rank,paper_key,short_citation,title,authors,year,venue,paper_type,role_in_topic,source_or_lookup_url,confidence,notes
alzheimer disease,phenotype,2,ADNI3_Weiner_2017,Weiner et al. (2017),The Alzheimer's Disease Neuroimaging Initiative 3: continued innovation for clinical trial improvement,Weiner et al.,2017,Alzheimer's & Dementia,dataset / disease cohort,"pipeline, benchmark, or second anchor",https://doi.org/10.1016/j.jalz.2016.10.006,medium,
alzheimer disease,phenotype,3,Kloeppel_AD_2008,Klöppel et al. (2008),Automatic classification of MR scans in Alzheimer's disease,Klöppel et al.,2008,Brain,clinical classification pipeline,"validation, caveat, or task template",https://doi.org/10.1093/brain/awm319,medium,
alzheimer disease,phenotype,4,Fischl_FreeSurfer_2012,Fischl (2012),FreeSurfer,Fischl,2012,NeuroImage,software suite / anatomical pipeline,robustness / evaluation / cross-topic bridge,https://doi.org/10.1016/j.neuroimage.2012.01.021,high,
alzheimer disease,phenotype,5,Dadi_2019,Dadi et al. (2019),Benchmarking functional connectome-based predictive models for resting-state fMRI,Dadi et al.,2019,NeuroImage,benchmark / predictive connectomics,additional pipeline/dataset/reference,https://doi.org/10.1016/j.neuroimage.2019.02.062,medium,
alzheimer disease,phenotype,6,Millar_2022,Millar et al. (2022),Predicting brain age from functional connectivity in symptomatic and preclinical Alzheimer disease,Millar et al.,2022,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2022.119228,medium,auto 2020+; verify
alzheimer disease,phenotype,7,Koenig_2020,Koenig et al. (2020),Select Atrophied Regions in Alzheimer disease (SARA): An improved volumetric model for identifying Alzheimer disease dementia,Koenig et al.,2020,NeuroImage Clinical,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.nicl.2020.102248,medium,auto 2020+; verify
alzheimer disease,phenotype,8,Coup_2022,Coup et al. (2022),Hippocampal‐amygdalo‐ventricular atrophy score: Alzheimer disease detection using normative and pathological lifespan models,Coup et al.,2022,Human Brain Mapping,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1002/hbm.25850,medium,auto 2020+; verify
arterial spin labeling,measurement,1,Alsop_ASL_2015,Alsop et al. (2015),Recommended implementation of arterial spin-labeled perfusion MRI for clinical applications,Alsop et al.,2015,Magnetic Resonance in Medicine,ASL consensus / pipeline,primary anchor / canonical method or dataset,https://doi.org/10.1002/mrm.25197,high,
arterial spin labeling,measurement,2,ASLPrep_2022,Adebimpe et al. (2022),ASLPrep: a platform for processing arterial spin labeled MRI and quantification of regional brain perfusion,Adebimpe et al.,2022,Nature Methods,ASL preprocessing pipeline,"pipeline, benchmark, or second anchor",https://doi.org/10.1038/s41592-022-01458-7,high,
arterial spin labeling,measurement,3,BIDS_2016,Gorgolewski et al. (2016),"The Brain Imaging Data Structure, a format for organizing and describing outputs of neuroimaging experiments",Gorgolewski et al.,2016,Scientific Data,standard / data organization,"validation, caveat, or task template",https://doi.org/10.1038/sdata.2016.44,high,
arterial spin labeling,measurement,4,MRIQC_2017,Esteban et al. (2017),MRIQC: Advancing the automatic prediction of image quality in MRI from unseen sites,Esteban et al.,2017,PLOS ONE,quality control pipeline,robustness / evaluation / cross-topic bridge,https://doi.org/10.1371/journal.pone.0184661,high,
arterial spin labeling,measurement,5,COBIDAS_MRI_2017,Nichols et al. / OHBM COBIDAS (2017),Best practices in data analysis and sharing in neuroimaging using MRI,Nichols et al. / OHBM COBIDAS,2017,COBIDAS report / Nature Neuroscience related guidance,reporting / reproducibility guideline,additional pipeline/dataset/reference,https://www.humanbrainmapping.org/files/2016/COBIDASreport.pdf,medium,
arterial spin labeling,measurement,6,Petitclerc_2021,Petitclerc et al. (2021),Ultra-long-TE arterial spin labeling reveals rapid and brain-wide blood-to-CSF water transport in humans,Petitclerc et al.,2021,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2021.118755,medium,auto 2020+; verify
arterial spin labeling,measurement,7,Chappell_2023,Chappell et al. (2023),BASIL: A toolbox for perfusion quantification using arterial spin labelling,Chappell et al.,2023,Imaging Neuroscience,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1162/imag_a_00041,medium,auto 2020+; verify
attention,phenotype,1,Rosenberg_2016,Rosenberg et al. (2016),A neuromarker of sustained attention from whole-brain functional connectivity,Rosenberg et al.,2016,Nature Neuroscience,predictive connectomics / attention,primary anchor / canonical method or dataset,https://doi.org/10.1038/nn.4179,high,
attention,phenotype,2,Shen_CPM_2017,Shen et al. (2017),Using connectome-based predictive modeling to predict individual behavior from brain connectivity,Shen et al.,2017,Nature Protocols,predictive modeling protocol,"pipeline, benchmark, or second anchor",https://doi.org/10.1038/nprot.2016.178,high,
attention,phenotype,3,Dosenbach_Control_2008,Dosenbach et al. (2008),A dual-networks architecture of top-down control,Dosenbach et al.,2008,Trends in Cognitive Sciences,control networks / frontoparietal,"validation, caveat, or task template",https://doi.org/10.1016/j.tics.2008.01.001,medium,
attention,phenotype,4,Cole_FlexibleHubs_2013,Cole et al. (2013),Multi-task connectivity reveals flexible hubs for adaptive task control,Cole et al.,2013,Nature Neuroscience,task connectivity / hubs,robustness / evaluation / cross-topic bridge,https://doi.org/10.1038/nn.3470,high,
attention,phenotype,5,Barch_HCP_Task_2013,Barch et al. (2013),Function in the human connectome: task-fMRI and individual differences in behavior,Barch et al.,2013,NeuroImage,task fMRI battery / HCP,additional pipeline/dataset/reference,https://doi.org/10.1016/j.neuroimage.2013.05.033,medium,
attention,phenotype,6,Wiesman_2020,Wiesman et al. (2020),Attention modulates the gating of primary somatosensory oscillations,Wiesman et al.,2020,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2020.116610,medium,auto 2020+; verify
autism,phenotype,1,DiMartino_ABIDE_2014,Di Martino et al. (2014),The autism brain imaging data exchange: towards a large-scale evaluation of the intrinsic brain architecture in autism,Di Martino et al.,2014,Molecular Psychiatry,dataset / autism FC,primary anchor / canonical method or dataset,https://doi.org/10.1038/mp.2013.78,medium,
autism,phenotype,2,Heinsfeld_ABIDE_2018,Heinsfeld et al. (2018),Identification of autism spectrum disorder using deep learning and the ABIDE dataset,Heinsfeld et al.,2018,NeuroImage: Clinical,deep learning / autism,"pipeline, benchmark, or second anchor",https://doi.org/10.1016/j.nicl.2017.08.017,medium,
autism,phenotype,3,Rosenberg_2016,Rosenberg et al. (2016),A neuromarker of sustained attention from whole-brain functional connectivity,Rosenberg et al.,2016,Nature Neuroscience,predictive connectomics / attention,"validation, caveat, or task template",https://doi.org/10.1038/nn.4179,high,
autism,phenotype,4,Dadi_2019,Dadi et al. (2019),Benchmarking functional connectome-based predictive models for resting-state fMRI,Dadi et al.,2019,NeuroImage,benchmark / predictive connectomics,robustness / evaluation / cross-topic bridge,https://doi.org/10.1016/j.neuroimage.2019.02.062,high,
autism,phenotype,5,fMRIPrep_2019,Esteban et al. (2019),fMRIPrep: a robust preprocessing pipeline for functional MRI,Esteban et al.,2019,Nature Methods,preprocessing pipeline,additional pipeline/dataset/reference,https://doi.org/10.1038/s41592-018-0235-4,medium,
autism,phenotype,6,He_2020,He et al. (2020),Nonreplication of functional connectivity differences in autism spectrum disorder across multiple sites and denoising strategies,He et al.,2020,Human Brain Mapping,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1002/hbm.24879,medium,auto 2020+; verify
bids,inference,1,BIDS_2016,Gorgolewski et al. (2016),"The Brain Imaging Data Structure, a format for organizing and describing outputs of neuroimaging experiments",Gorgolewski et al.,2016,Scientific Data,standard / data organization,primary anchor / canonical method or dataset,https://doi.org/10.1038/sdata.2016.44,high,
bids,inference,2,BIDSApps_2017,Gorgolewski et al. (2017),"BIDS Apps: Improving ease of use, accessibility, and reproducibility of neuroimaging data analysis methods",Gorgolewski et al.,2017,PLoS Computational Biology,containerized pipeline standard,"pipeline, benchmark, or second anchor",https://doi.org/10.1371/journal.pcbi.1005209,high,
bids,inference,3,OpenNeuro_2021,Markiewicz et al. (2021),The OpenNeuro resource for sharing of neuroscience data,Markiewicz et al.,2021,eLife,data repository / BIDS,"validation, caveat, or task template",https://doi.org/10.7554/eLife.71774,high,
bids,inference,4,fMRIPrep_2019,Esteban et al. (2019),fMRIPrep: a robust preprocessing pipeline for functional MRI,Esteban et al.,2019,Nature Methods,preprocessing pipeline,robustness / evaluation / cross-topic bridge,https://doi.org/10.1038/s41592-018-0235-4,high,
bids,inference,5,COBIDAS_MRI_2017,Nichols et al. / OHBM COBIDAS (2017),Best practices in data analysis and sharing in neuroimaging using MRI,Nichols et al. / OHBM COBIDAS,2017,COBIDAS report / Nature Neuroscience related guidance,reporting / reproducibility guideline,additional pipeline/dataset/reference,https://www.humanbrainmapping.org/files/2016/COBIDASreport.pdf,medium,
bids,inference,6,Covitz_2022,Covitz et al. (2022),Curation of BIDS (CuBIDS): A workflow and software package for streamlining reproducible curation of large BIDS datasets,Covitz et al.,2022,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2022.119609,medium,auto 2020+; verify
bids,inference,7,Zhao_2024,Zhao et al. (2024),A reproducible and generalizable software workflow for analysis of large-scale neuroimaging data collections using BIDS Apps,Zhao et al.,2024,Imaging Neuroscience,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1162/imag_a_00074,medium,auto 2020+; verify
bids,inference,8,Bulcke_2022,Bulcke et al. (2022),BMAT: An open-source BIDS managing and analysis tool,Bulcke et al.,2022,NeuroImage Clinical,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.nicl.2022.103252,medium,auto 2020+; verify
biomarker,inference,1,Woo_Biomarkers_2017,Woo et al. (2017),Building better biomarkers: brain models in translational neuroimaging,Woo et al.,2017,Nature Neuroscience,biomarker validation framework,primary anchor / canonical method or dataset,https://doi.org/10.1038/nn.4478,high,
biomarker,inference,2,Arbabshirani_2017,Arbabshirani et al. (2017),Single subject prediction of brain disorders in neuroimaging: promises and pitfalls,Arbabshirani et al.,2017,NeuroImage,clinical prediction / pitfalls,"pipeline, benchmark, or second anchor",https://doi.org/10.1016/j.neuroimage.2016.02.079,medium,
biomarker,inference,3,Goodkind_Transdiagnostic_2015,Goodkind et al. (2015),Identification of a common neurobiological substrate for mental illness,Goodkind et al.,2015,JAMA Psychiatry,transdiagnostic meta-analysis,"validation, caveat, or task template",https://doi.org/10.1001/jamapsychiatry.2014.2206,high,
biomarker,inference,4,Dadi_2019,Dadi et al. (2019),Benchmarking functional connectome-based predictive models for resting-state fMRI,Dadi et al.,2019,NeuroImage,benchmark / predictive connectomics,robustness / evaluation / cross-topic bridge,https://doi.org/10.1016/j.neuroimage.2019.02.062,high,
biomarker,inference,5,Varoquaux_CV_2018,Varoquaux (2018),Cross-validation failure: small sample sizes lead to large error bars,Varoquaux,2018,NeuroImage,ML validation / sample size,additional pipeline/dataset/reference,https://doi.org/10.1016/j.neuroimage.2017.06.061,medium,
biomarker,inference,6,Hong_2020,Hong et al. (2020),Toward a connectivity gradient-based framework for reproducible biomarker discovery,Hong et al.,2020,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2020.117322,medium,auto 2020+; verify
biomarker,inference,7,Jeancolas_2021,Jeancolas et al. (2021),X-Vectors: New Quantitative Biomarkers for Early Parkinson's Disease Detection From Speech,Jeancolas et al.,2021,Frontiers in Neuroinformatics,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.3389/fninf.2021.578369,medium,auto 2020+; verify
biomarker,inference,8,Traut_2022,Traut et al. (2022),Insights from an autism imaging biomarker challenge: Promises and threats to biomarker discovery,Traut et al.,2022,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2022.119171,medium,auto 2020+; verify
bipolar disorder,phenotype,1,Hibar_Bipolar_ENIGMA_2016,Hibar et al. (2016),Subcortical volumetric abnormalities in bipolar disorder,Hibar et al.,2016,Molecular Psychiatry,ENIGMA / bipolar disorder,primary anchor / canonical method or dataset,https://doi.org/10.1038/mp.2015.227,medium,
bipolar disorder,phenotype,2,Goodkind_Transdiagnostic_2015,Goodkind et al. (2015),Identification of a common neurobiological substrate for mental illness,Goodkind et al.,2015,JAMA Psychiatry,transdiagnostic meta-analysis,"pipeline, benchmark, or second anchor",https://doi.org/10.1001/jamapsychiatry.2014.2206,high,
