paper_key,short_citation,title,authors,year,venue,paper_type,source_or_lookup_url,source_confidence,notes
Brainstorm_2011,Tadel et al. (2011),Brainstorm: A user-friendly application for MEG/EEG analysis,Tadel et al.,2011,Computational Intelligence and Neuroscience,M/EEG pipeline / GUI,https://doi.org/10.1155/2011/879716,high,
MNEPython_2013,Gramfort et al. (2013),MEG and EEG data analysis with MNE-Python,Gramfort et al.,2013,Frontiers in Neuroscience,M/EEG pipeline / Python,https://doi.org/10.3389/fnins.2013.00267,high,
FieldTrip_2011,Oostenveld et al. (2011),"FieldTrip: Open source software for advanced analysis of MEG, EEG, and invasive electrophysiological data",Oostenveld et al.,2011,Computational Intelligence and Neuroscience,M/EEG pipeline / toolbox,https://doi.org/10.1155/2011/156869,high,
COBIDAS_MEEG_2020,Pernet et al. (2020),Issues and recommendations from the OHBM COBIDAS MEEG committee for reproducible EEG and MEG research,Pernet et al.,2020,Nature Neuroscience,M/EEG reproducibility guideline,https://doi.org/10.1038/s41593-020-00709-0,high,
MNE_2014,Gramfort et al. (2014),MNE software for processing MEG and EEG data,Gramfort et al.,2014,NeuroImage,M/EEG software suite,https://doi.org/10.1016/j.neuroimage.2013.10.027,medium,
Varoquaux_CV_2018,Varoquaux (2018),Cross-validation failure: small sample sizes lead to large error bars,Varoquaux,2018,NeuroImage,ML validation / sample size,https://doi.org/10.1016/j.neuroimage.2017.06.061,high,
Gannet_2014,Edden et al. (2014),Gannet: a batch-processing tool for the quantitative analysis of gamma-aminobutyric acid-edited MR spectroscopy spectra,Edden et al.,2014,Journal of Magnetic Resonance Imaging,MRS processing pipeline,https://doi.org/10.1002/jmri.24478,high,
Osprey_2020,Oeltzschner et al. (2020),"Osprey: Open-source processing, reconstruction and estimation of magnetic resonance spectroscopy data",Oeltzschner et al.,2020,Magnetic Resonance in Medicine,MRS processing pipeline,https://doi.org/10.1002/mrm.28040,high,
LCModel_2001,Provencher (2001),Automatic quantitation of localized in vivo 1H spectra with LCModel,Provencher,2001,NMR in Biomedicine,MRS quantification pipeline,https://doi.org/10.1002/nbm.698,high,
Haxby_MVPA_2001,Haxby et al. (2001),Distributed and overlapping representations of faces and objects in ventral temporal cortex,Haxby et al.,2001,Science,MVPA / perception,https://doi.org/10.1126/science.1063736,high,
Logan_PET_1990,Logan et al. (1990),Graphical analysis of reversible radioligand binding from time-activity measurements applied to PET data,Logan et al.,1990,Journal of Cerebral Blood Flow & Metabolism,PET kinetic modeling,https://doi.org/10.1038/jcbfm.1990.127,medium,
Lammertsma_SRTM_1996,Lammertsma & Hume (1996),Simplified reference tissue model for PET receptor studies,Lammertsma & Hume,1996,NeuroImage,PET kinetic modeling,https://doi.org/10.1006/nimg.1996.0066,medium,
Schweser_QSM_2011,Schweser et al. (2011),Quantitative imaging of intrinsic magnetic tissue properties using MRI signal phase: an approach to in vivo brain iron metabolism?,Schweser et al.,2011,NeuroImage,QSM / susceptibility pipeline,https://doi.org/10.1016/j.neuroimage.2011.02.013,medium,
Kriegeskorte_RSA_2008,Kriegeskorte et al. (2008),Representational similarity analysis—connecting the branches of systems neuroscience,Kriegeskorte et al.,2008,Frontiers in Systems Neuroscience,RSA / multivariate analysis,https://doi.org/10.3389/neuro.06.004.2008,high,
Haacke_SWI_2004,Haacke et al. (2004),Susceptibility weighted imaging (SWI),Haacke et al.,2004,Magnetic Resonance in Medicine,SWI acquisition / processing,https://doi.org/10.1002/mrm.20198,high,
Smith_TBSS_2006,Smith et al. (2006),Tract-based spatial statistics: voxelwise analysis of multi-subject diffusion data,Smith et al.,2006,NeuroImage,TBSS / group diffusion pipeline,https://doi.org/10.1016/j.neuroimage.2006.02.024,high,
Ashburner_VBM_2000,Ashburner & Friston (2000),Voxel-based morphometry—the methods,Ashburner & Friston,2000,NeuroImage,VBM / morphometry,https://doi.org/10.1006/nimg.2000.0582,high,
fMRIPrep_Task_2020,Esteban et al. (2020),Analysis of task-based functional MRI data preprocessed with fMRIPrep,Esteban et al.,2020,Nature Protocols,analysis protocol,https://doi.org/10.1038/s41596-020-0327-3,high,
Carp_2012,Carp (2012),On the plurality of methodological worlds: estimating the analytic flexibility of fMRI experiments,Carp,2012,Frontiers in Neuroscience,analytic flexibility,https://doi.org/10.3389/fnins.2012.00149,high,
Ciric_2017,Ciric et al. (2017),Benchmarking of participant-level confound regression strategies for the control of motion artifact in studies of functional connectivity,Ciric et al.,2017,NeuroImage,benchmark / denoising strategies,https://doi.org/10.1016/j.neuroimage.2017.03.020,high,
Dadi_2019,Dadi et al. (2019),Benchmarking functional connectome-based predictive models for resting-state fMRI,Dadi et al.,2019,NeuroImage,benchmark / predictive connectomics,https://doi.org/10.1016/j.neuroimage.2019.02.062,high,
Menze_BraTS_2015,Menze et al. (2015),The Multimodal Brain Tumor Image Segmentation Benchmark (BRATS),Menze et al.,2015,IEEE Transactions on Medical Imaging,benchmark / segmentation,https://doi.org/10.1109/TMI.2014.2377694,high,
Tustison_N4_2010,Tustison et al. (2010),N4ITK: improved N3 bias correction,Tustison et al.,2010,IEEE Transactions on Medical Imaging,bias correction,https://doi.org/10.1109/TMI.2010.2046908,high,
Drysdale_Depression_2017,Drysdale et al. (2017),Resting-state connectivity biomarkers define neurophysiological subtypes of depression,Drysdale et al.,2017,Nature Medicine,biomarker / depression subtypes,https://doi.org/10.1038/nm.4246,high,
Wager_Pain_2013,Wager et al. (2013),An fMRI-based neurologic signature of physical pain,Wager et al.,2013,New England Journal of Medicine,biomarker / pain signature,https://doi.org/10.1056/NEJMoa1204471,high,
Woo_Biomarkers_2017,Woo et al. (2017),Building better biomarkers: brain models in translational neuroimaging,Woo et al.,2017,Nature Neuroscience,biomarker validation framework,https://doi.org/10.1038/nn.4478,high,
Cole_BrainAge_2017,Cole & Franke (2017),Predicting age using neuroimaging: innovative brain ageing biomarkers,Cole & Franke,2017,Trends in Neurosciences,brain age / biomarker,https://doi.org/10.1016/j.tins.2017.10.001,high,
Buckner_Cerebellum_2011,Buckner et al. (2011),The organization of the human cerebellum estimated by intrinsic functional connectivity,Buckner et al.,2011,Journal of Neurophysiology,cerebellar networks / fcMRI,https://doi.org/10.1152/jn.00339.2011,high,
King_Cerebellum_2019,King et al. (2019),Functional boundaries in the human cerebellum revealed by a multi-domain task battery,King et al.,2019,Nature Neuroscience,cerebellar parcellation,https://doi.org/10.1038/s41593-019-0436-x,medium,
Kloeppel_AD_2008,Klöppel et al. (2008),Automatic classification of MR scans in Alzheimer's disease,Klöppel et al.,2008,Brain,clinical classification pipeline,https://doi.org/10.1093/brain/awm319,medium,
Arbabshirani_2017,Arbabshirani et al. (2017),Single subject prediction of brain disorders in neuroimaging: promises and pitfalls,Arbabshirani et al.,2017,NeuroImage,clinical prediction / pitfalls,https://doi.org/10.1016/j.neuroimage.2016.02.079,medium,
Finn_2015,Finn et al. (2015),Functional connectome fingerprinting: identifying individuals using patterns of brain connectivity,Finn et al.,2015,Nature Neuroscience,connectome fingerprinting,https://doi.org/10.1038/nn.4135,high,
Thompson_ENIGMA_2014,Thompson et al. (2014),The ENIGMA Consortium: large-scale collaborative analyses of neuroimaging and genetic data,Thompson et al.,2014,Brain Imaging and Behavior,consortium / harmonized analysis,https://doi.org/10.1007/s11682-013-9269-5,high,
Thompson_ENIGMA_2020,Thompson et al. (2020),ENIGMA and global neuroscience: a decade of large-scale studies of the brain in health and disease,Thompson et al.,2020,Translational Psychiatry,consortium review,https://doi.org/10.1038/s41398-020-0705-1,high,
BIDSApps_2017,Gorgolewski et al. (2017),"BIDS Apps: Improving ease of use, accessibility, and reproducibility of neuroimaging data analysis methods",Gorgolewski et al.,2017,PLoS Computational Biology,containerized pipeline standard,https://doi.org/10.1371/journal.pcbi.1005209,high,
Dosenbach_Control_2008,Dosenbach et al. (2008),A dual-networks architecture of top-down control,Dosenbach et al.,2008,Trends in Cognitive Sciences,control networks / frontoparietal,https://doi.org/10.1016/j.tics.2008.01.001,medium,
Schaefer_2018,Schaefer et al. (2018),Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI,Schaefer et al.,2018,Cerebral Cortex,cortical parcellation,https://doi.org/10.1093/cercor/bhx179,high,
OpenNeuro_2021,Markiewicz et al. (2021),The OpenNeuro resource for sharing of neuroscience data,Markiewicz et al.,2021,eLife,data repository / BIDS,https://doi.org/10.7554/eLife.71774,high,
NeuroVault_2015,Gorgolewski et al. (2015),NeuroVault.org: a web-based repository for collecting and sharing unthresholded statistical maps of the human brain,Gorgolewski et al.,2015,Frontiers in Neuroinformatics,data repository / statistical maps,https://doi.org/10.3389/fninf.2015.00008,high,
ADHD200_2012,ADHD-200 Consortium (2012),The ADHD-200 Consortium: a model to advance the translational potential of neuroimaging in clinical neuroscience,ADHD-200 Consortium,2012,Frontiers in Systems Neuroscience,dataset / ADHD,https://doi.org/10.3389/fnsys.2012.00062,medium,
Marek_PPMI_2011,Marek et al. (2011),The Parkinson Progression Marker Initiative (PPMI),Marek et al.,2011,Progress in Neurobiology,dataset / Parkinson cohort,https://doi.org/10.1016/j.pneurobio.2011.09.005,medium,
DiMartino_ABIDE_2014,Di Martino et al. (2014),The autism brain imaging data exchange: towards a large-scale evaluation of the intrinsic brain architecture in autism,Di Martino et al.,2014,Molecular Psychiatry,dataset / autism FC,https://doi.org/10.1038/mp.2013.78,medium,
Casey_ABCD_2018,Casey et al. (2018),The Adolescent Brain Cognitive Development (ABCD) study: Imaging acquisition across 21 sites,Casey et al.,2018,Developmental Cognitive Neuroscience,dataset / cohort acquisition,https://doi.org/10.1016/j.dcn.2018.03.001,high,
Miller_UKB_2016,Miller et al. (2016),Multimodal population brain imaging in the UK Biobank prospective epidemiological study,Miller et al.,2016,Nature Neuroscience,dataset / cohort pipeline,https://doi.org/10.1038/nn.4393,high,
VanEssen_HCP_2013,Van Essen et al. (2013),The WU-Minn Human Connectome Project: an overview,Van Essen et al.,2013,NeuroImage,dataset / consortium,https://pmc.ncbi.nlm.nih.gov/articles/PMC3724347/,high,
ADNI3_Weiner_2017,Weiner et al. (2017),The Alzheimer's Disease Neuroimaging Initiative 3: continued innovation for clinical trial improvement,Weiner et al.,2017,Alzheimer's & Dementia,dataset / disease cohort,https://doi.org/10.1016/j.jalz.2016.10.006,medium,
Alfaro_UKB_QC_2018,Alfaro-Almagro et al. (2018),"Image processing and Quality Control for the first 10,000 brain imaging datasets from UK Biobank",Alfaro-Almagro et al.,2018,NeuroImage,dataset processing / QC pipeline,https://doi.org/10.1016/j.neuroimage.2017.10.034,high,
Hagler_ABCD_2019,Hagler et al. (2019),Image processing and analysis methods for the Adolescent Brain Cognitive Development Study,Hagler et al.,2019,NeuroImage,dataset processing pipeline,https://doi.org/10.1016/j.neuroimage.2019.116091,high,
Glasser_HCP_Minimal_2013,Glasser et al. (2013),The minimal preprocessing pipelines for the Human Connectome Project,Glasser et al.,2013,NeuroImage,dataset-specific preprocessing pipeline,https://doi.org/10.1016/j.neuroimage.2013.04.127,high,
Heinsfeld_ABIDE_2018,Heinsfeld et al. (2018),Identification of autism spectrum disorder using deep learning and the ABIDE dataset,Heinsfeld et al.,2018,NeuroImage: Clinical,deep learning / autism,https://doi.org/10.1016/j.nicl.2017.08.017,medium,
Raichle_DMN_2001,Raichle et al. (2001),A default mode of brain function,Raichle et al.,2001,PNAS,default mode network,https://doi.org/10.1073/pnas.98.2.676,high,
Basser_DTI_1994,Basser et al. (1994),MR diffusion tensor spectroscopy and imaging,Basser et al.,1994,Biophysical Journal,diffusion tensor method,https://doi.org/10.1016/S0006-3495(94)80775-1,high,
Jack_AD_2010,Jack et al. (2010),Hypothetical model of dynamic biomarkers of the Alzheimer's pathological cascade,Jack et al.,2010,Lancet Neurology,disease biomarker model,https://doi.org/10.1016/S1474-4422(09)70299-6,high,
Lurie_dFC_2020,Lurie et al. (2020),Questions and controversies in the study of time-varying functional connectivity in resting fMRI,Lurie et al.,2020,Network Neuroscience,dynamic FC consensus/caveats,https://doi.org/10.1162/netn_a_00116,high,
Allen_DynFC_2014,Allen et al. (2014),Tracking whole-brain connectivity dynamics in the resting state,Allen et al.,2014,Cerebral Cortex,dynamic FC pipeline,https://doi.org/10.1093/cercor/bhs352,high,
Hutchison_DynFC_2013,Hutchison et al. (2013),"Dynamic functional connectivity: promise, issues, and interpretations",Hutchison et al.,2013,NeuroImage,dynamic FC review / caveats,https://doi.org/10.1016/j.neuroimage.2013.05.079,high,
Kay_NaturalImages_2008,Kay et al. (2008),Identifying natural images from human brain activity,Kay et al.,2008,Nature,encoding model / visual cortex,https://doi.org/10.1038/nature06713,high,
Pierpaoli_FA_1996,Pierpaoli & Basser (1996),Toward a quantitative assessment of diffusion anisotropy,Pierpaoli & Basser,1996,Magnetic Resonance in Medicine,fractional anisotropy / DTI metric,https://doi.org/10.1002/mrm.1910360612,high,
Fedorenko_Language_2011,Fedorenko et al. (2011),Functional specificity for high-level linguistic processing in the human brain,Fedorenko et al.,2011,PNAS,functional localizer / language,https://doi.org/10.1073/pnas.1112937108,medium,
Rubinov_2010,Rubinov & Sporns (2010),Complex network measures of brain connectivity: uses and interpretations,Rubinov & Sporns,2010,NeuroImage,graph theory / network metrics,https://doi.org/10.1016/j.neuroimage.2009.10.003,high,
Calhoun_GroupICA_2001,Calhoun et al. (2001),A method for making group inferences from functional MRI data using independent component analysis,Calhoun et al.,2001,Human Brain Mapping,group ICA / fMRI,https://doi.org/10.1002/hbm.1029,medium,
Fortin_ComBat_DTI_2017,Fortin et al. (2017),Harmonization of multi-site diffusion tensor imaging data,Fortin et al.,2017,NeuroImage,harmonization / ComBat,https://doi.org/10.1016/j.neuroimage.2017.08.047,high,
Fortin_ComBat_Cortical_2018,Fortin et al. (2018),Harmonization of cortical thickness measurements across scanners and sites,Fortin et al.,2018,NeuroImage,harmonization / ComBat,https://doi.org/10.1016/j.neuroimage.2017.11.024,high,
Ugurbil_HCP_7T_2013,Uğurbil et al. (2013),Pushing spatial and temporal resolution for functional and diffusion MRI in the Human Connectome Project,Uğurbil et al.,2013,NeuroImage,high-field MRI / HCP methods,https://doi.org/10.1016/j.neuroimage.2013.05.012,medium,
Yushkevich_ASHS_2015,Yushkevich et al. (2015),Automated segmentation of hippocampal subfields from high-resolution structural MRI,Yushkevich et al.,2015,Human Brain Mapping,hippocampal subfield segmentation,https://doi.org/10.1002/hbm.22627,medium,
Bates_VLSM_2003,Bates et al. (2003),Voxel-based lesion-symptom mapping,Bates et al.,2003,Nature Neuroscience,lesion-symptom mapping pipeline,https://doi.org/10.1038/nn1050,high,
BotvinikNezer_2020,Botvinik-Nezer et al. (2020),Variability in the analysis of a single neuroimaging dataset by many teams,Botvinik-Nezer et al.,2020,Nature,many-analyst benchmark,https://doi.org/10.1038/s41586-020-2314-9,high,
Binder_Language_2009,Binder et al. (2009),Where is the semantic system? A critical review and meta-analysis of 120 functional neuroimaging studies,Binder et al.,2009,Cerebral Cortex,meta-analysis / language,https://doi.org/10.1093/cercor/bhp055,medium,
Haufe_2014,Haufe et al. (2014),On the interpretation of weight vectors of linear models in multivariate neuroimaging,Haufe et al.,2014,NeuroImage,model interpretability,https://doi.org/10.1016/j.neuroimage.2013.10.067,high,
Power_Motion_2012,Power et al. (2012),Spurious but systematic correlations in functional connectivity MRI networks arise from subject motion,Power et al.,2012,NeuroImage,motion confound / QC,https://doi.org/10.1016/j.neuroimage.2011.10.018,high,
Satterthwaite_Motion_2013,Satterthwaite et al. (2013),An improved framework for confound regression and filtering for control of motion artifact in the preprocessing of resting-state functional connectivity data,Satterthwaite et al.,2013,NeuroImage,motion confound / preprocessing,https://doi.org/10.1016/j.neuroimage.2012.08.052,high,
Glasser_2016,Glasser et al. (2016),A multi-modal parcellation of human cerebral cortex,Glasser et al.,2016,Nature,multimodal atlas / parcellation,https://doi.org/10.1038/nature18933,high,
Power_2011,Power et al. (2011),Functional network organization of the human brain,Power et al.,2011,Neuron,network atlas / graph construction,https://doi.org/10.1016/j.neuron.2011.09.006,high,
Yeo_2011,Yeo et al. (2011),The organization of the human cerebral cortex estimated by intrinsic functional connectivity,Yeo et al.,2011,Journal of Neurophysiology,network atlas / parcellation,https://doi.org/10.1152/jn.00338.2011,high,
BullmoreSporns_2009,Bullmore & Sporns (2009),Complex brain networks: graph theoretical analysis of structural and functional systems,Bullmore & Sporns,2009,Nature Reviews Neuroscience,network neuroscience review,https://doi.org/10.1038/nrn2575,high,
Bethlehem_BrainCharts_2022,Bethlehem et al. (2022),Brain charts for the human lifespan,Bethlehem et al.,2022,Nature,normative lifespan modeling,https://doi.org/10.1038/s41586-022-04554-y,high,
Marquand_Normative_2016,Marquand et al. (2016),Understanding heterogeneity in clinical cohorts using normative models: beyond case-control studies,Marquand et al.,2016,Biological Psychiatry,normative modeling,https://doi.org/10.1016/j.biopsych.2015.12.023,medium,
Rosenberg_2016,Rosenberg et al. (2016),A neuromarker of sustained attention from whole-brain functional connectivity,Rosenberg et al.,2016,Nature Neuroscience,predictive connectomics / attention,https://doi.org/10.1038/nn.4179,high,
Dosenbach_Maturity_2010,Dosenbach et al. (2010),Prediction of individual brain maturity using fMRI,Dosenbach et al.,2010,Science,predictive modeling / development,https://doi.org/10.1126/science.1194144,high,
Shen_CPM_2017,Shen et al. (2017),Using connectome-based predictive modeling to predict individual behavior from brain connectivity,Shen et al.,2017,Nature Protocols,predictive modeling protocol,https://doi.org/10.1038/nprot.2016.178,high,
fMRIPrep_2019,Esteban et al. (2019),fMRIPrep: a robust preprocessing pipeline for functional MRI,Esteban et al.,2019,Nature Methods,preprocessing pipeline,https://doi.org/10.1038/s41592-018-0235-4,high,
Behrens_ProbTrack_2007,Behrens et al. (2007),Probabilistic diffusion tractography with multiple fibre orientations,Behrens et al.,2007,Magnetic Resonance in Medicine,probabilistic tractography,https://doi.org/10.1002/mrm.21145,high,
Behrens_Thalamus_2003,Behrens et al. (2003),Non-invasive mapping of connections between human thalamus and cortex using diffusion imaging,Behrens et al.,2003,Nature Neuroscience,probabilistic tractography / thalamus,https://doi.org/10.1038/nn1075,high,
Tabelow_hMRI_2019,Tabelow et al. (2019),hMRI – A toolbox for quantitative MRI in neuroscience and clinical research,Tabelow et al.,2019,Frontiers in Neuroscience,qMRI toolbox,https://doi.org/10.3389/fnins.2019.00836,high,
MRIQC_2017,Esteban et al. (2017),MRIQC: Advancing the automatic prediction of image quality in MRI from unseen sites,Esteban et al.,2017,PLOS ONE,quality control pipeline,https://doi.org/10.1371/journal.pone.0184661,high,
Avants_ANTs_2011,Avants et al. (2011),A reproducible evaluation of ANTs similarity metric performance in brain image registration,Avants et al.,2011,NeuroImage,registration / ANTs,https://doi.org/10.1016/j.neuroimage.2010.09.025,high,
Ashburner_DARTEL_2007,Ashburner (2007),A fast diffeomorphic image registration algorithm,Ashburner,2007,NeuroImage,registration / DARTEL,https://doi.org/10.1016/j.neuroimage.2007.07.007,high,
Dinga_Depression_2019,Dinga et al. (2019),Evaluating the evidence for biotypes of depression: attempted replication of Drysdale et al. 2017,Dinga et al.,2019,NeuroImage: Clinical,replication / depression biomarker,https://doi.org/10.1016/j.nicl.2019.101796,medium,
COBIDAS_MRI_2017,Nichols et al. / OHBM COBIDAS (2017),Best practices in data analysis and sharing in neuroimaging using MRI,Nichols et al. / OHBM COBIDAS,2017,COBIDAS report / Nature Neuroscience related guidance,reporting / reproducibility guideline,https://www.humanbrainmapping.org/files/2016/COBIDASreport.pdf,high,
Poldrack_Repro_2017,Poldrack et al. (2017),Scanning the horizon: towards transparent and reproducible neuroimaging research,Poldrack et al.,2017,Nature Reviews Neuroscience,reproducibility / open science,https://doi.org/10.1038/nrn.2016.167,high,
Biswal_1995,Biswal et al. (1995),Functional connectivity in the motor cortex of resting human brain using echo-planar MRI,Biswal et al.,1995,Magnetic Resonance in Medicine,resting-state FC method,https://doi.org/10.1002/mrm.1910340409,high,
Fox_2005,Fox et al. (2005),"The human brain is intrinsically organized into dynamic, anticorrelated functional networks",Fox et al.,2005,PNAS,resting-state networks,https://doi.org/10.1073/pnas.0504136102,high,
Knutson_Reward_2001,Knutson et al. (2001),Anticipation of increasing monetary reward selectively recruits nucleus accumbens,Knutson et al.,2001,Journal of Neuroscience,reward task fMRI,https://doi.org/10.1523/JNEUROSCI.21-16-j0002.2001,medium,
Seeley_Salience_2007,Seeley et al. (2007),Dissociable intrinsic connectivity networks for salience processing and executive control,Seeley et al.,2007,Journal of Neuroscience,salience / control networks,https://doi.org/10.1523/JNEUROSCI.5587-06.2007,high,
Marek_BWAS_2022,Marek et al. (2022),Reproducible brain-wide association studies require thousands of individuals,Marek et al.,2022,Nature,sample size / BWAS,https://doi.org/10.1038/s41586-022-04492-9,high,
Fischl_Seg_2002,Fischl et al. (2002),Whole brain segmentation: automated labeling of neuroanatomical structures in the human brain,Fischl et al.,2002,Neuron,segmentation / subcortical labels,https://doi.org/10.1016/S0896-6273(02)00569-X,high,
Horovitz_Sleep_2009,Horovitz et al. (2009),Decoupling of the brain's default mode network during deep sleep,Horovitz et al.,2009,PNAS,sleep / default mode network,https://doi.org/10.1073/pnas.0901435106,medium,
Tagliazucchi_Sleep_2014,Tagliazucchi et al. (2014),Large-scale brain functional modularity is reflected in slow electroencephalographic rhythms across the human non-rapid eye movement sleep cycle,Tagliazucchi et al.,2014,NeuroImage,sleep / fMRI-EEG connectivity,https://doi.org/10.1016/j.neuroimage.2013.12.073,medium,
Abraham_Nilearn_2014,Abraham et al. (2014),Machine learning for neuroimaging with scikit-learn,Abraham et al.,2014,Frontiers in Neuroinformatics,software / ML pipeline,https://doi.org/10.3389/fninf.2014.00014,high,
Fischl_FreeSurfer_2012,Fischl (2012),FreeSurfer,Fischl,2012,NeuroImage,software suite / anatomical pipeline,https://doi.org/10.1016/j.neuroimage.2012.01.021,high,
Tournier_MRtrix3_2019,Tournier et al. (2019),"MRtrix3: A fast, flexible and open software framework for medical image processing and visualisation",Tournier et al.,2019,NeuroImage,software suite / diffusion pipeline,https://doi.org/10.1016/j.neuroimage.2019.116137,high,
FSL_2012,Jenkinson et al. (2012),FSL,Jenkinson et al.,2012,NeuroImage,software suite / pipeline,https://doi.org/10.1016/j.neuroimage.2011.09.015,high,
BIDS_2016,Gorgolewski et al. (2016),"The Brain Imaging Data Structure, a format for organizing and describing outputs of neuroimaging experiments",Gorgolewski et al.,2016,Scientific Data,standard / data organization,https://doi.org/10.1038/sdata.2016.44,high,
Eklund_2016,Eklund et al. (2016),Cluster failure: Why fMRI inferences for spatial extent have inflated false-positive rates,Eklund et al.,2016,PNAS,statistical inference / cluster correction,https://doi.org/10.1073/pnas.1602413113,high,
TFCE_2009,Smith & Nichols (2009),"Threshold-free cluster enhancement: addressing problems of smoothing, threshold dependence and localisation in cluster inference",Smith & Nichols,2009,NeuroImage,statistical inference / multiple comparisons,https://doi.org/10.1016/j.neuroimage.2008.03.061,high,
NicholsHolmes_2002,Nichols & Holmes (2002),Nonparametric permutation tests for functional neuroimaging: a primer with examples,Nichols & Holmes,2002,Human Brain Mapping,statistical inference / permutation,https://doi.org/10.1002/hbm.1058,high,
SPM_1994,Friston et al. (1994),Statistical parametric maps in functional imaging: A general linear approach,Friston et al.,1994,Human Brain Mapping,statistical modeling / GLM,https://doi.org/10.1002/hbm.460020402,high,
SPM_Book_2007,Friston et al. (2007),Statistical Parametric Mapping: The Analysis of Functional Brain Images,Friston et al.,2007,Academic Press,statistical modeling / reference,https://scholar.google.com/scholar?q=Statistical+Parametric+Mapping+The+Analysis+of+Functional+Brain+Images+2007,medium,
Button_Power_2013,Button et al. (2013),Power failure: why small sample size undermines the reliability of neuroscience,Button et al.,2013,Nature Reviews Neuroscience,statistical power,https://doi.org/10.1038/nrn3475,high,
Dale_Surface_1999,Dale et al. (1999),Cortical surface-based analysis I: Segmentation and surface reconstruction,Dale et al.,1999,NeuroImage,surface reconstruction,https://doi.org/10.1006/nimg.1998.0395,high,
Cole_FlexibleHubs_2013,Cole et al. (2013),Multi-task connectivity reveals flexible hubs for adaptive task control,Cole et al.,2013,Nature Neuroscience,task connectivity / hubs,https://doi.org/10.1038/nn.3470,high,
Barch_HCP_Task_2013,Barch et al. (2013),Function in the human connectome: task-fMRI and individual differences in behavior,Barch et al.,2013,NeuroImage,task fMRI battery / HCP,https://doi.org/10.1016/j.neuroimage.2013.05.033,medium,
Goodkind_Transdiagnostic_2015,Goodkind et al. (2015),Identification of a common neurobiological substrate for mental illness,Goodkind et al.,2015,JAMA Psychiatry,transdiagnostic meta-analysis,https://doi.org/10.1001/jamapsychiatry.2014.2206,high,
Nipype_2011,Gorgolewski et al. (2011),"Nipype: a flexible, lightweight and extensible neuroimaging data processing framework in Python",Gorgolewski et al.,2011,Frontiers in Neuroinformatics,workflow framework,https://doi.org/10.3389/fninf.2011.00013,high,
Finn_2021,Finn et al. (2021),Movie-watching outperforms rest for functional connectivity-based prediction of behavior,Finn et al.,2021,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2021.117963,medium,auto-added 2020+ via OpenAlex; verify
Barrett_2020,Barrett et al. (2020),"Psilocybin acutely alters the functional connectivity of the claustrum with brain networks that support perception, memory, and attention",Barrett et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.116980,medium,auto-added 2020+ via OpenAlex; verify
